,0,1
228,Ophthalmic solution used for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication.,S
229,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,D
230,"For the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD) alone or in combination with behavioral treatment, as an adjunct to psychological, educational, social, and other remedial measures.",N
231,"For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas.",L
232,"For treatment of chronic lymphatic (lymphocytic) leukemia,  childhood minimal-change nephrotic syndrome, and malignant lymphomas including lymphosarcoma, giant follicular lymphoma, Hodgkin's disease,  non-Hodgkin's lymphomas, and Waldenstrom¡¯s Macroglobulinemia.",L
233,Used in the induction of general anesthesia.,N
234,For the treatment of malignant neoplasm of colon and rectum,L
235,For use as a female contraceptive (depot).,G
236,For the relief and treatment of severe pain.,G
237,Used in obstetric anesthesia and regional anesthesia for surgery.,N
238,"For the production of local or regional anesthesia or analgesia for surgery, for oral surgery procedures, for diagnostic and therapeutic procedures, and for obstetrical procedures.",N
239,Used in the treatment of iatrogenically induced mydriasis produced by adrenergic (phenylephrine) or parasympatholytic (tropicamide) agents used in certain eye examinations.,S
240,Used to treat recurrent cold sores on the lips and face from various herpesvirus invections.,D
241,Tenofovir is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults and pediatric patients 2 years of age and older. It is also indicated for the treatment of chronic hepatitis B in adults and pediatric patients 12 years of age and older. ,J
242,Used to treat bacterial infection by susceptible microorganisms.,J
243,"For use in patients with hemophilia for short term use (two to eight days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. It can also be used for excessive bleeding in menstruation, surgery, or trauma cases.",B
244,"For the treatment the following moderate to severe infections caused by susceptible isolates of the designated microorganisms: (1) complicated intra-abdominal infections due to <i>Escherichia coli</i>, <i>Clostridium clostridioforme</i>, <i>Eubacterium lentum</i>, <i>Peptostreptococcus</i> species, <i>Bacteroides fragilis</i>, <i>Bacteroides distasonis</i>, <i>Bacteroides ovatus</i>, <i>Bacteroides thetaiotaomicron</i>, or <i>Bacteroides uniformis</i>, (2) complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis due to <i>Staphylococcus aureus</i> (methicillin susceptible isolates only), <i>Streptococcus agalactiae</i>, <i>Streptococcus pyogenes</i>, <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Proteus mirabilis</i>, <i>Bacteroides fragilis</i>, <i>Peptostreptococcus</i> species, <i>Porphyromonas asaccharolytica</i>, or <i>Prevotella bivia</i>, (3) community acquired pneumonia due to <i>Streptococcus pneumoniae</i> (penicillin susceptible isolates only) including cases with concurrent bacteremia, <i>Haemophilus influenzae</i> (beta-lactamase negative isolates only), or <i>Moraxella catarrhalis</i>, (4) complicated urinary tract infections including pyelonephritis due to <i>Escherichia coli</i>, including cases with concurrent bacteremia, or <i>Klebsiella pneumoniae</i>, (5) acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections due to <i>Streptococcus agalactiae</i>, <i>Escherichia coli</i>, <i>Bacteroides fragilis</i>, <i>Porphyromonas asaccharolytica</i>, <i>Peptostreptococcus</i> species, or <i>Prevotella bivia</i>.",J
245,For the prevention of pregnancy in women who elect to use this product as a method of contraception.,G
246,"For treatment of malignant neoplasm of lip, oral cavity, pharynx, digestive organs, peritoneum, female breast, and urinary bladder. Also used as an adjunct to ab externo glaucoma surgery.",L
247,For use as a sedative and hypnotic.,N
248,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.,L
249,Indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm.,C
250,"For the treatment of acute leukaemia, malignant lymphoma, Hodgkin's disease, acute erythraemia and acute panmyelosis",L
251,For management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.,C
252,For the short-term treatment of insomnia.,N
253,"For treatment and management of seizure disorders, mania, and prophylactic treatment of migraine headache. In epileptics, valproic acid is used to control absence seizures, tonic-clonic seizures (grand mal), complex partial seizures, and the seizures associated with Lennox-Gastaut syndrome.",N
254,Used in the treatment of tuberculosis in combination with other drugs.,J
255,For the acute treatment of adult migraine with or without auras.,N
256,For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.,L
257,For treatment and management of pain (systemic). It is also used as an antidiarrheal and as a cough suppressant.,N
258,For the treatment of polymicrobial infections.,J
259,For the acute treatment of migraine headaches with or without aura and the acute treatment of cluster headache episodes.,N
260,"For the treatment of depression, chronic pain, irritable bowel syndrome, sleep disorders, diabetic neuropathy, agitation and insomnia, and migraine prophylaxis. ",N
261,Used as an adjunct to levodopa/carbidopa therapy for the symptomatic treatment of Parkinson's Disease. This drug is generally reserved for patients with parkinsonian syndrome receiving levodopa/carbidopa who are experiencing symptom fluctuations and are not responding adequately to or are not candidates for other adjunctive therapies.,N
262,"For the ophthalmic treatment of corticosteroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe.",C
263,"For immediate reduction of blood pressure of patients in hypertensive crises, reduce bleeding during surgery, and for the treatment of acute congestive heart failure",C
264,"For the relief of moderate to severe pain such as that due to surgery, cancer, trauma/injury, or burns.",N
265,"For moderate to severe rheumatoid arthritis including acute flares of chronic disease, ankylosing spondylitis, osteoarthritis, acute painful shoulder (bursitis and/or tendinitis) and acute gouty arthritis.",M
266,"For use, as an adjunct, in the treatment of pulmonary tuberculosis.",J
267,For use as an adjunct to diet and exercise in adult patients (18 years and older) with NIDDM. May also be used for the management of metabolic and reproductive abnormalities associated with polycystic ovary syndrome (PCOS). Jentadueto is for the treatment of patients when both linagliptin and metformin is appropriate.,A
268,"For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema.",R
269,"For the treatment of dry cough, drug withdrawal syndrome, opioid type drug dependence, and pain.",N
270,"For the acute and maintenance treatment of schizophrenia and related psychotic disorders, as well as acute treatment of manic or mixed episodes of bipolar 1 disorder. Intramuscular olanzapine is indicated for the rapid control of agitated patients.",N
271,For the management of hypertention and long-term management of patients with angina pectoris,C
272,"For the treatement of bacterial skin infections including pyodermas, infected dermatoses and infections of cuts, wounds, burns and ulcers due to susceptible organisms.",P
273,For treatment of mild to moderate atopic dermatitis.,D
274,"Omeprazole is indicated for the treatment of duodenal ulcers, benign gastric ulcers, gastroesophageal reflux disease (GERD), heartburn and other symptoms associated with GERD, erosive esophagitis, and long-term treatment of pathological hypersecretory conditions like Zollinger-Ellison syndrome, multiple endocrine adenomas, and systemic mastocytosis. ",A
275,For the initial treatment of active tuberculosis in adults and children when combined with other antituberculous agents.,J
276,Used for the symptomatic treatment of parkinsonism.,N
277,"For the relief of symptoms associated with seasonal allergic rhinitis, perennial allergic rhinitis and the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria",R
278,"For the treatment of allergic rhinitis, hay fever, and allergic skin disorders.",R
279,For the treatment of Hypertension,C
280,For the treatment of depression. ,N
281,Used to measure effective renal plasma flow (ERPF) and to determine the functional capacity of the tubular excretory mechanism.,V
282,"For the reduction of urinary obstruction and relief of associated manifestations (eg. sensation of incomplete bladder emptying or straining, urgency, interrupted or weak stream) in patients with symptomatic beningn prostatic hyperplasia.",G
283,Used in the control of absence (petit mal) seizures that are refractory to treatment with other medications.,N
284,Used as an adjunct to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1.,A
285,"For treatment and management of epilepsy and seizures associated with Lennox-Gastaut syndrome, a difficult-to-treat form of childhood epilepsy. ",N
286,For the treatment of severe hypertension and in the topical treatment (regrowth) of androgenic alopecia in males and females and stabilisation of hair loss in patients with androgenic alopecia.,C
287,"For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS). Also used for the palliative management of recurrent, inoperable, or metastatic breast cancer, endometrial cancer, and prostate cancer in Canada and some other countries.",G
288,For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.,L
289,For the prevention and control of excessive bleeding following vaginal childbirth,G
290,"For prevention and treatment of nausea, vomiting, and dizziness associated with motion sickness and vertigo (dizziness caused by other medical problems).",R
291,"For the treatment of the following infections caused by susceptible gram-negative microorganisms: urinary tract infections, lower respiratory tract infections, septicemia, skin and skin-structure infections, intra-abdominal infections, and gynecologic infections.",J
292,For the relief of discomfort associated with acute painful musculoskeletal conditions.,M
293,"For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast.",L
294,"For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of <i>Plasmodium falciparum</i> (both chloroquine-susceptible and resistant strains) or by <i>Plasmodium vivax</i>. Also for the prophylaxis of <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections, including prophylaxis of chloroquine-resistant strains of <i>Plasmodium falciparum</i>.",P
295,For the treatment of rheumatic fever and meningococcal meningitis,D
296,For the treatment of tetrahydrobiopterin (BH4) deficiency.,A
297,For the treatment of non-small-cell lung carcinoma.,L
298,"For use in the treatment of the following fungal infections: Candidemia and other forms of <i>Candida</i> infections (intra-abdominal abscess, and peritonitis), Aspergillus infections, and esophageal candidiasis. Also considered an alternative treatment for oropharyngeal canaidiasis.",J
299,For use in patients with treatment-resistant schizophrenia.,N
300,"For the short-term treatment (up to 8 weeks) of active duodenal ulcer, as well as maintenance therapy for duodenal ulcer patients at reduced dosage (1 gram twice a day) after healing of acute ulcers. Also used for the short-term treatment of gastric ulcer.",A
301,"For treatment of adults with mild to moderate infections caused by susceptible strains of <i>Haemophilus influenzae</i>, <i>Streptococcus pneumoniae</i>, or <i>Moraxella catarrhalis</i>.",J
302,"Used alone as a short-term sleep aid, in combination with other drugs as a night-time cold and allergy relief drug. Also used in combination with Vitamin B6 (pyridoxine) to prevent morning sickness in pregnant women.",R
303,For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive.,G
304,Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension.,C
305,For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS),J
306,For the treatment of major depressive disorder.,N
307,For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.,N
308,For the treatment or relief of nausea and vomiting.,R
309,"In its oral form it is used to treat high blood pressure and prevent heart attacks, and occasionally to prevent migraine headaches. In its opthalmic form it is used to treat open-angle and occasionally secondary glaucoma.",C
310,For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.,B
311,"For use, as adjunctive therapy to diet, for the reduction of elevated serum total and LDL-C in patients with primary hypercholesterolemia (elevated LDL-C) who do not respond adequately to diet.",C
312,Indicated for the treatment of parkinson's disease and extrapyramidal reactions caused by drugs.,N
313,"For the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy, as well as prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy. Also used for the prevention of postoperative nausea and vomiting for up to 24 hours post operation.",A
314,Used to treat irregular duration of cycles and irregular occurrence and duration of periods caused by progesterone deficiency. Also used to prevent natural abortion in patients who have a history of habitual abortions.,G
315,"For the treatment of ventricular tachycardia and symptomatic premature ventricular beats, and prevention of ventricular fibrillation.",C
316,For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.,V
317,For the treatment of hypertension and chronic stable angina.,C
318,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.,N
319,For the treatment of peptic ulcer disease and the relief of smooth muscle spasms in gastrointestinal disorders.,A
320,"For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism.",C
321,For the treatment of cancer of the bladder.,L
322,"For the treatment of all forms of Parkinson's Disease, as well as control of extrapyramidal reactions induced by antipsychotic agents.",N
323,"Phenylephrine is mainly used to treat nasal congestion, but may also be useful in treating hypotension and shock, hypotension during spinal anaesthesia, prolongation of spinal anaesthesia, paroxysmal supraventricular tachycardia, symptomatic relief of external or internal hemorrhoids, and to increase blood pressure as an aid in the diagnosis of heart murmurs. ",C
324,For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.,H
325,"For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.",C
326,Sulpiride is indicated for the treatment of schizophrenia.,N
327,For use in the treatment of Parkinson's disease and also used to control severe reactions to certain medicines such as reserpine.,N
328,For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits.,C
329,"Used in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older, and in treating symptoms for allergic rhinitis (seasonal or perennial) in patients 12 years of age and older. Also being investigated for oral treatment in mild-to-moderate Crohn's disease of ileal or ileal-right colonic localisation and for ""topical"" use mild-to-moderate graft versus host disease.",A
330,"For the relief of discomfort associated with acute, painful, musculoskeletal conditions.",M
331,"For progesterone supplementation or replacement as part of an Assisted Reproductive Technology (ART) treatment for infertile women with progesterone deficiency and for the treatment of secondary amenorrhea. Also used for the reduction of the incidence of endometrial hyperplasia and the attendant risk of endometrial carcinoma in postmenopausal women receiving estrogen replacement therapy, as well as treatment of abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology such as fibroids or uterine cancer.",G
332,"For the treatment of nasal congestion, control of urinary incontinence, priapism and obesity.",R
333,Sorafenib is indicated for the treatment of unresectable hepatocellular carcinoma and advanced renal cell carcinoma.  ,L
334,"For the treatment of hypercalcemia of malignancy. Also for the treatment of patients with multiple myeloma and patients with documented bone metastases from solid tumors, in conjunction with standard antineoplastic therapy. In May of 2007, the drug was approved for treatment of Paget¡¯s Disease.",M
335,"For the treatment of ringworm infections of the skin, hair, and nails, namely: tinea corporis, tinea pedis, tinea cruris, tinea barbae, cradle cap or other conditions caused by <i>Trichophyton</i> or <i>Microsporum</i> fungi.",D
336,For the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.,C
337,For the treatment of insomnia,N
338,"Caerulein stimulates gastric, biliary, and pancreatic secretion; and certain smooth muscle. As such, it is used in paralytic ileus and as diagnostic aid in pancreatic malfunction.",V
339,"For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia.",N
340,"For treatment and relief of symptoms of allergies, hay fever, and colds",R
341,"For the treatment of bacterial and fungal infections inside the mouth (thrush) and skin, also for the prevention of transmission of Chagas' disease (as a blood additive).",D
342,"For prevention of deep vein thrombosis, which may result in pulmonary embolism, following knee surgery.",B
343,For the management of the manifestations of psychotic disorders such as schizophrenia,N
344,Remoxipride is an atypical antipsychotic once used for the treatment of schizophrenia.,N
345,For the treatment of <i>Staphylococci</i> nasal carriers.,D
346,"Primarily used in the treatment of glaucoma, but is also used during ophthalmic surgery.",N
347,Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ,A
348,For the treatment of signs and symptoms of idiopathic Parkinson's disease,N
349,Used in the management of diabetes mellitus type 2 (adult-onset).,A
350,"For treatment of infection (Respiratory, GI, UTI and meningitis) due to E. coli, P. mirabilis, enterococci, Shigella, S. typhosa and other Salmonella, nonpenicillinase-producing N. gononhoeae, H. influenzae, staphylococci, streptococci including streptoc",J
351,For use as an anesthesia adjunct to induce skeletal muscle relaxation and to reduce the intensity of muscle contractions in convulsive therapy.,M
352,"For the treatment of mild to moderately severe infections (e.g. dental infection, infections in the heart, middle ear infections, rheumatic fever, scarlet fever, skin infections, upper and lower respiratory tract infections) due to microorganisms",J
353,For the Short-term treatment of intractable insomnia for patients habituated to barbiturates,N
354,"For the treatment of adult patients with mild to moderate type 1 (nonneuropathic) Gaucher's disease for whom enzyme replacement therapy is not a therapeutic option (e.g. due to constraints such as allergy, hypersensitivity, or poor venous access). Now approved in some countries for the treatment of progressive neurological symptoms in adult and pediatric patients with Niemann-Pick disease type C (NP-C). ",A
355,Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly.,N
356,"Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome.",C
357,"For use as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity.",N
358,"For use as an adjunct to rest, physical therapy, and other measures for the relief of discomforts associated with acute, painful musculoskeletal conditions.",M
359,"For treatment of bladder spasms, peptic ulcer disease, diverticulitis, colic, irritable bowel syndrome, cystitis, and pancreatitis. Also used to treat certain heart conditions, to control the symptoms of Parkinson's disease and rhinitis.",A
360,For the short-term treatment of insomnia.,N
361,For the treatment of acute herpes zoster (shingles). Also for the treatment or suppression of recurrent genital herpes in immunocompetent patients and treatment of recurrent mucocutaneous herpes simplex infections in HIV infected patients.,J
362,"For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold.",R
363,For the treatment of malignant neoplasms of pancreas (metastatic islet cell carcinoma).,L
364,For aborting pregnancy between the 13th and 20th weeks of gestation as calculated from the first day of the last normal menstrual period and in the following conditions related to second trimester abortion: 1. Failure of expulsion of the fetus during the course of treatment by another method; 2. Premature rupture of membranes in intrauterine methods with loss of drug and insufficient or absent uterine activity; 3. Requirement of a repeat intrauterine instillation of drug for expulsion of the fetus; 4. Inadvertent or spontaneous rupture of membranes in the presence of a previable fetus and absence of adequate activity for expulsion. Also for the treatment of postpartum hemorrhage due to uterine atony which has not responded to conventional methods of management.,G
365,For treatment of severe infections caused by susceptible bacteria such as P. aeruginosa.,J
366,"For the treatment of patients infested with Sarcoptes scabiei or pediculosis capitis who have either failed to respond to adequate doses, or are intolerant of other approved therapies.",P
367,"Ophthalmic solution for the treatment of primay keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus, types 1 and 2.",S
368,"For the symptomatic management of psychotic disorders, short term management of nonpsychotic anxiety in patients with generalized anxiety disorder, and for the control of severe nausea and vomiting of various causes.",N
369,"For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine.",R
370,For the treatment of term and near-term (&gt;34 weeks) neonates with hypoxic respiratory failure,R
371,For the treatment of high blood pressure and management of edema related to heart failure.,C
372,"For the treatment of hyperuricemia associated with primary or secondary gout. Also indicated for the treatment of primary or secondary uric acid nephropathy, with or without the symptoms of gout, as well as chemotherapy-induced hyperuricemia and recurrent renal calculi.",M
373,"For the treatment of patients with infections caused by susceptible strains of organisms in the following diseases: lower respiratory tract infections,skin and skin structure infections, urinary tract infections, bacterial septicemia, bone and joint infections, gynecologic infections, intra abdominal infections (including peritonitis), and central nervous system infections (including meningitis).",J
374,Used as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia and mixed dyslipidemia (Fredrickson Types IIa and IIb) when the response to dietary restriction of saturated fat and cholesterol and other non-pharmacological measures alone has been inadequate.,C
375,"For the treatment of urinary tract infections, uncomplicated pyelonephritis (with sulfamethoxazole) and mild acute prostatitis. May be used as pericoital (with sulfamethoxazole) or continuous prophylaxis in females with recurrent cystitis. May be used as an alternative to treat asymptomatic bacteriuria during pregnancy (only before the last 6 weeks of pregnancy). Other uses include: alternative agent in respiratory tract infections (otitis, sinusitus, bronchitis and pneumonia), treatment of Pneumocystis jirovecii pneumonia (acute or prophylaxis), Nocardia infections, and traveller's diarrhea.",J
376,"Gemcitabine is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy; metastatic ovarian cancer; inoperable, locally advanced (Stage IIIA or IIIB), or metastatic (Stage IV) non-small cell lung cancer; and locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas. ",L
377,For the treatment of chronic hepatitis B virus infection in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease.,J
378,"<b>Topical use (cream, lotion and ointment):</b> for relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses<br/><b>Topical use (foam):</b> relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses of the scalp<br/><b>Systemic use:</b> for the treatment of edocrine disorders, rheumatic disorders, collagen diseases, dermatological diseases, allergic states, ophthalmic diseases, respiratory diseases, hematologic disorders, neoplastic diseases, edematous states, gastrointestinal diseases, tuberculous meningitis and trichinosis.",A
379,Teniposide is used for the treatment of refractory acute lymphoblastic leukaemia,L
380,For use as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer.,L
381,"Used in treatment of cholera, as it destroys the vibrios and decreases the diarrhea. It is effective against tetracycline-resistant vibrios. It is also used in eye drops or ointment to treat bacterial conjunctivitis.",D
382,"Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by <i>E. coli</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. saprphyticus</i>, <i>S. penumoniae</i>, <i>H. influenzae</i> and <i>M. catarrhalis</i>.",J
383,"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, H. pylori eradication, and prevention of gastroinetestinal bleeds with NSAID use.",A
384,Dipivefrin is a prodrug which is used as initial therapy for the control of intraocular pressure in chronic open-angle glaucoma.,S
385,Droperidol is ssed to produce tranquilization and to reduce the incidence of nausea and vomiting in surgical and diagnostic procedures.,N
386,"For use alone or in combination with antithyroid agents to treat hypothyroidism, goiter, chronic lymphocytic thyroiditis, myxedema coma, and stupor.",H
387,"For the treatment of bacterial blepharitis, bacterial bonjunctivitis, corneal injuries, corneal ulcers and meibomianitis. For the prophylaxis of ocular infections following foreign body removal",D
388,"For the treatment and management of Brucellosis, mycoplasma infection, acne vulgaris, chlamydial infection;Chronic bronchitis",J
389,Used to control moderate to severe pain.,N
390,"A self-medication that is used alone or in combination with pseudoephedrine sulfate for the symptomatic relief of seasonal allergic rhinitis. Also used for the symptomatic relief of pruritus, erythema, and urticaria associated with chronic idiopathic urticaria in patients (not for children under 6 unless directed by a clincian).",R
391,"Used to prevent infection during surgery and to treat many kinds of infections of the blood, bone or joints, respiratory tract, skin, and urinary tract.",J
392,"For treatment of hypertension, symptomatic benign prostatic hyperplasia, and severe congestive heart failure. May also be used alone or in combination with &beta;-blockers in the preoperative management of signs and symptoms of pheochromocytoma. ",C
393,"For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older. May also be used to manage panic disorders, with or without agoraphobia, as a second line agent in ADHD, management of eating disorders, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, and for symptomatic treatment of postherpetic neuralgia. ",N
394,For the treatment of severe psoriasis in adults.,D
395,"For the treatment of patients with predominantly classic subfoveal choroidal neovascularization due to age-related macular degeneration, pathologic myopia or presumed ocular histoplasmosis syndrome. Verteporfin can also be used to destroy tumors.",S
396,For acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.,M
397,Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness.,A
398,Metharbital is used for the treatment of epilepsy.,N
399,For the treatment of small uncomplicated varicose veins of the lower extremities that show simple dilation with competent valves.,C
400,"For the short-term (~5 days) management of moderately severe acute pain that requires analgesia at the opioid level, usually in a postoperative setting.",M
401,"For the treatment of adults (&ge;18 years of age) with the following infections caused by susceptible strains of the designated microorganisms: (1) uncomplicated urethral or cervical gonorrhea due to <i>Neisseria gonorrhoeae</i>, (2) uncomplicated urinary tract infections (cystitis) due to <i>Escherichia coli</i>, <i>Staphylococcus epidermidis</i>, or <i>Staphylococcus saprophyticus</i>, and (3) complicated urinary tract infections due to <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Proteus mirabilis</i>, <i>Pseudomonas aeruginosa</i>, <i>Staphylococcus epidermidis</i>, or <i>Enterobacter cloacae</i>.",J
402,For the treatment of malaria and leg cramps,M
403,"For the treatment of rheumatoid arthritis, osteoarthritis, backache, and pain.",M
404,"For the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments",A
405,For the treatment of asthma,R
406,"Labeled indication include: major depressive disorder (MDD), moderate to severe bulimia nervosa, obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), panic disorder with or without agoraphobia, and combination treatment with olanzapine for treatment-resistant or bipolar I depression. Unlabeled indications include: selective mutism, mild dementia-associated agitation in nonpsychotic patients, post-traumatic stress disorder (PTSD), social anxiety disorder, chronic neuropathic pain, fibromyalgia, and Raynaud's phenomenon. ",N
407,Methohexital is indicated for use as an intravenous anaesthetic. It has also been commonly used to induce deep sedation.,N
408,"For the management of anxiety disorders or for the short-term relief of symptoms of anxiety, withdrawal symptoms of acute alcoholism, and preoperative apprehension and anxiety.",N
409,"For the acute and maintenance treatment of major depressive disorder (MDD), as well as acute management of generalized anxiety disorder. Also used for the management of neuropathic pain associated with diabetic peripheral neuropathy, and fibromyalgia. Has been used in the management of moderate to severe stress urinary incontinence (SUI) in women.",N
410,For the prophylaxis and treatment of illness caused by various strains of influenza A virus in adults.,J
411,"For short-term treatment of serious infections due to susceptible strains of Gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella-Enterobacter-Serratia species, and Acinetobacter (Mima-Herellea) species. Amikacin may also be used to treat Mycobacterium avium and Mycobacterium tuberculosis infections.",D
412,Lenalidomide is indicated for the treatment of multiple myeloma in combination with dexamethasone. It is also indicated for the treatment of patients with transfusion-dependent anemia due to low- or intermediate- risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.,L
413,"For the prevention and treatment of osteoporosis in post-menopausal women, as well as prevention and treatment of corticosteroid-induced bone loss. Also for the reduction in the incidence of invasive breast cancer in postmenopausal women with osteoporosis or have a high risk for developing breast cancer.",G
414,"For relief and management of osteoarthritis (OA), rheumatoid arthritis (RA), juvenile rheumatoid arthritis (JRA), ankylosing spondylitis, acute pain, primary dysmenorrhea and oral adjunct to usual care for patients with familial adenomatous polyposis",L
415,For use as adjuncts to anesthesia to induce skeletal muscle relaxation and to facilitate the management of patients undergoing mechanical ventilation,M
416,The ophthalmic solution is indicated for patients with open-angle glaucoma or ocular hypertension to lower intraocular pressure. The topical gel is indicated for the treatment of persistent (nontransient) facial erythema of rosacea in adults 18 years or older. ,S
417,Used to treat infections caused by penicillinase-producing staphylococci which have demonstrated susceptibility to the drug.,J
